experiment_id,window_id,relation_id,source_id,target_id,estimator_id,direction,estimability,strength,absolute_strength,sign,sample_count,p_value,non_estimable_reason,valid_block_count,minimum_valid_blocks_met,estimable_block_fraction,sign_preservation_fraction,strength_preservation_fraction,persistence,median_block_strength,median_block_absolute_strength,loo_estimable_count,loo_sign_preservation_fraction,loo_median_absolute_strength_change,leave_one_block_out_robust,bootstrap_estimable_count,bootstrap_estimable_fraction,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,bootstrap_interval_crosses_zero,bootstrap_interval_supports_full_sign,bootstrap_sign_support_fraction,missingness_estimable_count,missingness_estimable_fraction,missingness_sign_preservation_fraction,missingness_median_absolute_strength_change,missingness_stress_robust,classification_status,classification_reason,eligible_condition_count_met,eligible_condition_count_total,candidate_condition_count_met,candidate_condition_count_total,failed_eligible_conditions,failed_candidate_conditions,condition_estimable_on_full_baseline,condition_eligible_strength,condition_candidate_strength,condition_minimum_valid_blocks_met,condition_eligible_estimable_block_fraction,condition_eligible_sign_preservation,condition_eligible_persistence,condition_candidate_persistence,condition_eligible_ci_width,condition_candidate_ci_width,condition_eligible_interval_sign_support,condition_leave_one_block_out_robust,condition_missingness_stress_robust,dependency_status,directly_derived_flag,definitionally_constrained_flag,overlap_class,strongly_overlap_sensitive_flag,nonoverlap_sign_preserved,nonoverlap_estimable,nonoverlap_absolute_strength_change,null_outcome,primary_null_margin,primary_nulls_passed_alpha_0_05,minimum_one_primary_null_exceeded,redundancy_status,retains_residual_information,fully_redundant_flag,partial_spearman_strength,residual_spearman_strength,family_id,family_reproducible,edge_weight,family_table_reproducible,family_stability,pair_id,supported_scale_count,multiscale_class,sign_consistent,scale_inconsistent,median_supported_bootstrap_ci_width,condition_id02_status_allowed,condition_family_membership,condition_family_reproducible,condition_not_directly_derived,condition_not_strongly_overlap_sensitive,condition_reduced_overlap_sign_preserved,condition_minimum_supported_scales,condition_minimum_primary_nulls_exceeded,condition_residual_information,condition_not_fully_redundant,representative_condition_count_met,representative_condition_count_total,all_representative_conditions_met,failed_representative_conditions,tie_break_supported_scale_count,tie_break_overlap_robustness,tie_break_primary_null_margin,tie_break_residual_information,tie_break_id02_persistence,tie_break_bootstrap_ci_width,selected_family_representative,family_selection_rank,family_selection_reason,id03_state,id03_state_reason,id02_status_modified,primary_relation_established,indispensable_relation_established,causality_established,predictive_capability_established,earthquake_prediction_established
CGIE3_ID_02,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,estimable,-0.4485559896,0.4485559896,-1,8707,0,,12,True,1,0.75,0.8333333333,0.6666666667,-0.5458813203,0.5768107859,12,1,0.04223714756,True,500,1,-0.5345866763,-0.3513184127,0.1832682636,False,True,1,100,1,1,0.002311210198,True,candidate,candidate_conditions_met,9,10,4,4,eligible_persistence,,True,True,True,True,True,True,False,True,True,True,True,True,True,shared_event_source,False,True,overlap_robust,False,True,True,0.1154945622,exceeds_null,0.3257910464,2,True,retains_residual_information,True,False,-0.4719780669,-0.4719780669,CGIE3_ID_03_FAMILY_01,False,0.7730445313,False,0.6466666667,depth_mad_km--median_depth_km,3,multi_scale_3,True,False,0.1894804619,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,3,2,0.3257910464,2,0.6666666667,0.1832682636,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,3d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,estimable,-0.2500408068,0.2500408068,-1,7429,2.804580985e-106,,12,True,1,0.9166666667,0.8333333333,0.75,-0.4067923992,0.4317208298,12,1,0.01285674186,True,500,1,-0.3415967142,-0.1521162523,0.1894804619,False,True,1,100,1,1,0.003113019275,True,candidate,candidate_conditions_met,9,10,4,4,eligible_strength,,True,False,True,True,True,True,True,True,True,True,True,True,True,shared_event_source,False,True,overlap_robust,False,True,True,0.03670693548,exceeds_null,0.217202587,3,True,retains_residual_information,True,False,-0.2363472559,-0.2363472559,CGIE3_ID_03_FAMILY_01,False,0.7500081614,False,0.6466666667,depth_mad_km--median_depth_km,3,multi_scale_3,True,False,0.1894804619,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,3,2,0.217202587,2,0.75,0.1894804619,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,7d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,estimable,-0.364965898,0.364965898,-1,8676,1.331340836e-271,,12,True,1,0.9166666667,1,0.9166666667,-0.5465680327,0.5465680327,12,1,0.01803498455,True,500,1,-0.4572490413,-0.2556491504,0.2015998909,False,True,1,100,1,1,0.002414837547,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,shared_event_source,False,True,overlap_robust,False,True,True,0.0145827203,exceeds_null,0.3219075986,3,True,retains_residual_information,True,False,-0.327056199,-0.327056199,CGIE3_ID_03_FAMILY_01,False,0.8063265129,False,0.6466666667,depth_mad_km--median_depth_km,3,multi_scale_3,True,False,0.1894804619,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,3,2,0.3219075986,2,0.9166666667,0.2015998909,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,estimable,0.300418432,0.300418432,1,3853,3.416408906e-81,,12,True,1,1,0.8333333333,0.8333333333,0.3696222145,0.3696222145,12,1,0.007225786263,True,500,1,0.2029557301,0.392632199,0.1896764689,False,True,1,100,1,1,0.003495873408,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.01345172939,exceeds_null,0.2705866075,3,True,retains_residual_information,True,False,0.2767770293,0.2767770293,CGIE3_ID_03_FAMILY_01,False,0.6767503531,False,0.6466666667,depth_mad_km--spatial_dispersion_km,1,single_scale,True,False,0.1896764689,True,True,False,True,True,True,False,True,True,True,8,10,False,family_reproducible|minimum_supported_scales,1,2,0.2705866075,2,0.8333333333,0.1896764689,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,estimable,0.2688861285,0.2688861285,1,3853,8.3482942e-65,,12,True,1,0.9166666667,0.5833333333,0.5,0.1980179021,0.2415650688,12,1,0.02051200916,True,500,1,0.1647488578,0.3608716752,0.1961228175,False,True,1,100,1,1,0.003646692404,True,candidate,candidate_conditions_met,8,10,4,4,eligible_strength|eligible_persistence,,True,False,True,True,True,True,False,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.002936174297,exceeds_null,0.2372005068,3,True,retains_residual_information,True,False,0.2599883819,0.2599883819,CGIE3_ID_03_FAMILY_01,False,0.7537772257,False,0.6466666667,median_depth_km--spatial_dispersion_km,4,multi_scale_4,True,False,0.1487392225,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,4,2,0.2372005068,2,0.5,0.1961228175,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,30d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,estimable,0.7668159829,0.7668159829,1,8707,0,,12,True,1,0.9166666667,0.8333333333,0.8333333333,0.4268110056,0.4268110056,12,1,0.0187745797,True,500,1,0.7257431456,0.8052807094,0.07953756379,False,True,1,100,1,1,0.001011466427,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.05426623148,exceeds_null,0.6493648385,3,True,retains_residual_information,True,False,0.7394026338,0.7394026338,CGIE3_ID_03_FAMILY_01,False,0.9200298632,False,0.6466666667,median_depth_km--spatial_dispersion_km,4,multi_scale_4,True,False,0.1487392225,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,4,2,0.6493648385,2,0.8333333333,0.07953756379,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,3d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,estimable,0.3355845205,0.3355845205,1,7429,5.635049323e-195,,12,True,1,0.8333333333,0.5833333333,0.5833333333,0.2566675107,0.2566675107,12,1,0.01492393151,True,500,1,0.2459796714,0.4179533535,0.1719736821,False,True,1,100,1,1,0.002453801002,True,candidate,candidate_conditions_met,9,10,4,4,eligible_persistence,,True,True,True,True,True,True,False,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.052491394,exceeds_null,0.2999513581,3,True,retains_residual_information,True,False,0.3401767418,0.3401767418,CGIE3_ID_03_FAMILY_01,False,0.7837835708,False,0.6466666667,median_depth_km--spatial_dispersion_km,4,multi_scale_4,True,False,0.1487392225,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,4,2,0.2999513581,2,0.5833333333,0.1719736821,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,7d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,estimable,0.5172865986,0.5172865986,1,8676,0,,12,True,1,0.9166666667,0.9166666667,0.8333333333,0.4022604483,0.4218071941,12,1,0.01180798288,True,500,1,0.4549612303,0.5804659932,0.1255047629,False,True,1,100,1,1,0.001678052839,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.0555196381,exceeds_null,0.4519371367,3,True,retains_residual_information,True,False,0.4999963672,0.4999963672,CGIE3_ID_03_FAMILY_01,False,0.8701239864,False,0.6466666667,median_depth_km--spatial_dispersion_km,4,multi_scale_4,True,False,0.1487392225,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,4,2,0.4519371367,2,0.8333333333,0.1255047629,False,,not_selected,insufficient_evidence,no_higher_precedence_state_applies,False,False,False,False,False,False
CGIE3_ID_02,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,estimable,0.4971858071,0.4971858071,1,3853,9.243194981e-240,,12,True,1,1,0.75,0.75,0.6568765717,0.6568765717,12,1,0.02094929554,True,500,1,0.3886207566,0.5915663905,0.2029456339,False,True,1,100,1,1,0.003462198255,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.04631780727,exceeds_null,0.469912296,3,True,retains_residual_information,True,False,0.3847430604,0.3847430604,CGIE3_ID_03_FAMILY_02,False,0.7994371614,False,0.4615555556,event_count--interevent_time_mad_hours,3,scale_inconsistent,False,True,0.138324204,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,3,2,0.469912296,2,0.75,0.2029456339,False,,not_selected,scale_inconsistent,multiscale_sign_or_strong_scale_inconsistency,False,False,False,False,False,False
CGIE3_ID_02,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,estimable,-0.7624175354,0.7624175354,-1,8707,0,,12,True,1,0.8333333333,0.8333333333,0.75,-0.4627172519,0.5195120549,12,1,0.027395754,True,500,1,-0.8141484539,-0.6936662321,0.1204822218,False,True,1,100,1,1,0.001294326669,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True,independent_source,False,False,overlap_robust,False,True,True,0.119060892,exceeds_null,0.6394160511,3,True,retains_residual_information,True,False,-0.6992011336,-0.6992011336,CGIE3_ID_03_FAMILY_02,False,0.8524835071,False,0.4615555556,event_count--interevent_time_mad_hours,3,scale_inconsistent,False,True,0.138324204,True,True,False,True,True,True,True,True,True,True,9,10,False,family_reproducible,3,2,0.6394160511,2,0.75,0.1204822218,False,,not_selected,scale_inconsistent,multiscale_sign_or_strong_scale_inconsistency,False,False,False,False,False,False
